slice,kind,label,n,residual,ci_lo,ci_hi,p,fdr
"GLOBAL (all modes, all maps)",pair,"Otis + Spike",162,-0.074875,-0.148112,-0.004544,0.04383,false
"GLOBAL (all modes, all maps)",pair,"Bolt + Griff",438,0.045399,0.002864,0.090307,0.04416,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Ruffs",228,0.067120,0.000250,0.135528,0.04418,false
"GLOBAL (all modes, all maps)",pair,"Byron + Surge",529,-0.044443,-0.087252,-0.000611,0.04443,false
"GLOBAL (all modes, all maps)",pair,"Lily + Surge",149,-0.078909,-0.155585,-0.000072,0.04472,false
"GLOBAL (all modes, all maps)",pair,"Fang + Bo",244,0.062862,0.001357,0.122802,0.04490,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Byron",555,0.042901,0.002408,0.084081,0.04496,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Edgar",262,0.060551,0.001990,0.121758,0.04542,false
"GLOBAL (all modes, all maps)",pair,"Emz + Penny",118,0.085821,0.001330,0.169280,0.04557,false
"GLOBAL (all modes, all maps)",pair,"Kaze + Mandy",63,-0.123459,-0.241214,-0.004548,0.04670,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Squeak",94,0.102007,0.002556,0.201267,0.04844,false
"GLOBAL (all modes, all maps)",pair,"Angelo + Surge",146,-0.077001,-0.151751,-0.002253,0.04888,false
"GLOBAL (all modes, all maps)",pair,"Griff + Jessie",236,0.058681,-0.000814,0.114704,0.05002,false
"GLOBAL (all modes, all maps)",pair,"Najia + Piper",155,0.074740,-0.003521,0.144762,0.05016,false
"GLOBAL (all modes, all maps)",pair,"Dynamike + Colt",103,-0.091351,-0.183300,-0.002965,0.05105,false
"GLOBAL (all modes, all maps)",pair,"Darryl + Crow",60,0.123024,0.001918,0.248297,0.05134,false
"GLOBAL (all modes, all maps)",pair,"Mortis + Brock",615,0.038982,0.000260,0.078054,0.05153,false
"GLOBAL (all modes, all maps)",pair,"Spike + Brock",384,-0.048154,-0.096065,0.001823,0.05153,false
"GLOBAL (all modes, all maps)",pair,"Damian + Mina",107,-0.094219,-0.191247,-0.005649,0.05157,false
"GLOBAL (all modes, all maps)",pair,"Griff + Bibi",476,0.042721,-0.000697,0.085223,0.05175,false
"GLOBAL (all modes, all maps)",pair,"Kit + Gene",68,-0.111644,-0.221379,0.001220,0.05204,false
"GLOBAL (all modes, all maps)",pair,"Meg + Gene",192,-0.069044,-0.137339,0.001225,0.05212,false
"GLOBAL (all modes, all maps)",pair,"Clancy + Griff",119,0.086488,-0.004272,0.172706,0.05303,false
"GLOBAL (all modes, all maps)",pair,"Leon + Crow",308,0.055201,-0.000990,0.111805,0.05325,false
"GLOBAL (all modes, all maps)",pair,"Lumi + Bo",109,-0.090161,-0.179858,0.008267,0.05340,false
"GLOBAL (all modes, all maps)",pair,"Lumi + Surge",369,-0.051018,-0.103749,0.002267,0.05356,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Penny",67,-0.115931,-0.229708,0.004965,0.05369,false
"GLOBAL (all modes, all maps)",triple,"Pierce + Griff + Crow",62,0.122242,-0.003116,0.248136,0.05509,false
"GLOBAL (all modes, all maps)",pair,"Lumi + Rico",249,0.060814,-0.000676,0.122204,0.05543,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Moe",82,-0.100988,-0.203665,0.001118,0.05608,false
"GLOBAL (all modes, all maps)",pair,"Otis + Lou",73,0.109985,-0.003584,0.226225,0.05610,false
"GLOBAL (all modes, all maps)",pair,"Otis + Colette",122,-0.079496,-0.160469,0.005118,0.05749,false
"GLOBAL (all modes, all maps)",pair,"Shade + Crow",236,-0.061718,-0.123882,0.004282,0.05795,false
"GLOBAL (all modes, all maps)",pair,"Meeple + Penny",170,0.069638,0.001345,0.141342,0.05829,false
"GLOBAL (all modes, all maps)",pair,"Bea + Rico",63,-0.114150,-0.231535,-0.000314,0.06100,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Crow",980,-0.029995,-0.060369,0.002566,0.06129,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Bibi",203,0.065633,-0.004133,0.132505,0.06206,false
"GLOBAL (all modes, all maps)",pair,"Starr Nova + Chester",365,-0.047281,-0.098709,0.001258,0.06268,false
"GLOBAL (all modes, all maps)",pair,"Chester + Rico",399,0.046836,-0.003382,0.097439,0.06273,false
"GLOBAL (all modes, all maps)",pair,"8-Bit + Gene",223,-0.061710,-0.128171,0.005597,0.06413,false
"GLOBAL (all modes, all maps)",pair,"Pierce + Leon",451,0.043994,-0.002704,0.087829,0.06419,false
"GLOBAL (all modes, all maps)",pair,"Gus + Brock",241,0.060370,-0.003837,0.124941,0.06743,false
"GLOBAL (all modes, all maps)",pair,"Angelo + Piper",322,-0.050299,-0.105325,0.003587,0.06785,false
"GLOBAL (all modes, all maps)",pair,"Mandy + Griff",198,-0.064062,-0.127794,0.009526,0.06919,false
"GLOBAL (all modes, all maps)",pair,"Damian + Max",450,-0.043168,-0.092392,0.004199,0.07042,false
